;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.36.34.148 E012.39.15.533 N055.36.33.653 E012.39.15.527 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.33.653 E012.39.15.527 N055.36.33.626 E012.39.17.490 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.33.626 E012.39.17.490 N055.36.33.557 E012.39.17.693 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.33.557 E012.39.17.693 N055.36.33.406 E012.39.17.851 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.33.406 E012.39.17.851 N055.36.32.857 E012.39.17.817 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.857 E012.39.17.817 N055.36.32.761 E012.39.17.679 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.761 E012.39.17.679 N055.36.32.692 E012.39.17.449 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.692 E012.39.17.449 N055.36.32.706 E012.39.15.461 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.706 E012.39.15.461 N055.36.32.198 E012.39.15.420 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.198 E012.39.15.420 N055.36.32.198 E012.39.17.415 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.198 E012.39.17.415 N055.36.32.115 E012.39.17.662 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.115 E012.39.17.662 N055.36.31.978 E012.39.17.820 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.978 E012.39.17.820 N055.36.31.044 E012.39.17.775 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.044 E012.39.17.775 N055.36.30.879 E012.39.17.666 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.879 E012.39.17.666 N055.36.30.811 E012.39.17.401 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.811 E012.39.17.401 N055.36.30.811 E012.39.15.712 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.811 E012.39.15.712 N055.36.27.130 E012.39.15.602 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.130 E012.39.15.602 N055.36.26.759 E012.39.19.763 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.26.759 E012.39.19.763 N055.36.28.394 E012.39.19.798 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.28.394 E012.39.19.798 N055.36.28.311 E012.39.27.608 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.28.311 E012.39.27.608 N055.36.30.769 E012.39.27.742 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.769 E012.39.27.742 N055.36.31.250 E012.39.28.696 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.250 E012.39.28.696 N055.36.31.456 E012.39.29.634 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.456 E012.39.29.634 N055.36.29.904 E012.39.29.551 COLOR_TaxiwayBorder  ; C > N1 (outer)
