;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.37.36.152 E012.39.53.484 N055.37.42.565 E012.40.03.430 COLOR_TaxiwayBorder ; E82 - E90
N055.37.42.565 E012.40.03.430 N055.37.44.598 E012.39.59.338 COLOR_TaxiwayBorder ; E82 - E90
N055.37.44.598 E012.39.59.338 N055.37.45.023 E012.39.58.566 COLOR_TaxiwayBorder ; E82 - E90
N055.37.45.023 E012.39.58.566 N055.37.45.270 E012.39.58.095 COLOR_TaxiwayBorder ; E82 - E90
N055.37.45.270 E012.39.58.095 N055.37.45.353 E012.39.58.130 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.45.353 E012.39.58.130 N055.37.45.737 E012.39.58.291 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.45.737 E012.39.58.291 N055.37.46.067 E012.39.58.263 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.46.067 E012.39.58.263 N055.37.46.397 E012.39.58.147 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.46.397 E012.39.58.147 N055.37.46.685 E012.39.57.941 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.46.685 E012.39.57.941 N055.37.46.932 E012.39.57.649 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.46.932 E012.39.57.649 N055.37.47.221 E012.39.57.154 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.47.221 E012.39.57.154 N055.37.49.528 E012.39.52.492 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.49.528 E012.39.52.492 N055.37.51.643 E012.39.55.726 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.51.643 E012.39.55.726 N055.37.52.563 E012.39.55.606 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.52.563 E012.39.55.606 N055.37.54.279 E012.39.52.169 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.54.279 E012.39.52.169 N055.37.54.197 E012.39.50.302 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.54.197 E012.39.50.302 N055.37.53.414 E012.39.48.953 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.53.414 E012.39.48.953 N055.37.53.840 E012.39.48.015 COLOR_TaxiwayBorder ; V1 + T + T + S
;
;
N055.37.03.530 E012.39.21.757 N055.36.56.520 E012.39.40.695 COLOR_TaxiwayBorder ; N1 > 22L
N055.36.56.520 E012.39.40.695 N055.36.56.230 E012.39.40.328 COLOR_TaxiwayBorder ; N1 > C (inner) at N1
N055.36.56.230 E012.39.40.328 N055.36.55.846 E012.39.40.177 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.55.846 E012.39.40.177 N055.36.54.376 E012.39.39.065 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.54.376 E012.39.39.065 N055.36.51.959 E012.39.37.194 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.51.959 E012.39.37.194 N055.36.51.231 E012.39.36.960 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.51.231 E012.39.36.960 N055.36.50.765 E012.39.36.950 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.50.765 E012.39.36.950 N055.36.50.243 E012.39.37.084 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.50.243 E012.39.37.084 N055.36.49.817 E012.39.37.396 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.817 E012.39.37.396 N055.36.49.638 E012.39.37.334 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.638 E012.39.37.334 N055.36.49.529 E012.39.37.104 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.529 E012.39.37.104 N055.36.49.474 E012.39.36.826 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.474 E012.39.36.826 N055.36.49.515 E012.39.35.783 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.515 E012.39.35.783 N055.36.49.515 E012.39.35.412 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.515 E012.39.35.412 N055.36.49.158 E012.39.29.696 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.158 E012.39.29.696 N055.36.49.034 E012.39.28.933 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.49.034 E012.39.28.933 N055.36.48.842 E012.39.28.477 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.842 E012.39.28.477 N055.36.48.526 E012.39.28.024 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.526 E012.39.28.024 N055.36.48.114 E012.39.27.691 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.114 E012.39.27.691 N055.36.47.785 E012.39.27.564 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.47.785 E012.39.27.564 N055.36.46.906 E012.39.27.526 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.46.906 E012.39.27.526 N055.36.46.260 E012.39.24.323 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.46.260 E012.39.24.323 N055.36.43.802 E012.39.24.374 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.43.802 E012.39.24.374 N055.36.43.761 E012.39.25.967 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.43.761 E012.39.25.967 N055.36.44.296 E012.39.26.156 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.44.296 E012.39.26.156 N055.36.44.214 E012.39.30.245 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.44.214 E012.39.30.245 N055.36.45.505 E012.39.30.365 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.45.505 E012.39.30.365 N055.36.45.450 E012.39.31.924 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.45.450 E012.39.31.924 N055.36.45.574 E012.39.32.919 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.45.574 E012.39.32.919 N055.36.47.263 E012.39.32.796 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.47.263 E012.39.32.796 N055.36.47.263 E012.39.30.080 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.47.263 E012.39.30.080 N055.36.47.730 E012.39.29.950 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.47.730 E012.39.29.950 N055.36.47.977 E012.39.29.943 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.47.977 E012.39.29.943 N055.36.48.197 E012.39.30.145 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.197 E012.39.30.145 N055.36.48.293 E012.39.30.396 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.293 E012.39.30.396 N055.36.48.375 E012.39.30.835 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.375 E012.39.30.835 N055.36.48.375 E012.39.31.412 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.375 E012.39.31.412 N055.36.48.746 E012.39.38.368 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.48.746 E012.39.38.368 N055.36.46.082 E012.39.42.237 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.46.082 E012.39.42.237 N055.36.45.766 E012.39.42.618 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.45.766 E012.39.42.618 N055.36.45.395 E012.39.42.883 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.45.395 E012.39.42.883 N055.36.44.832 E012.39.43.061 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.44.832 E012.39.43.061 N055.36.37.032 E012.39.44.503 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.032 E012.39.44.503 N055.36.36.647 E012.39.44.304 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.647 E012.39.44.304 N055.36.36.304 E012.39.43.895 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.304 E012.39.43.895 N055.36.36.180 E012.39.43.576 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.180 E012.39.43.576 N055.36.36.084 E012.39.43.164 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.084 E012.39.43.164 N055.36.36.070 E012.39.42.285 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.070 E012.39.42.285 N055.36.36.098 E012.39.40.548 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.098 E012.39.40.548 N055.36.36.798 E012.39.40.479 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.798 E012.39.40.479 N055.36.36.949 E012.39.40.565 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.949 E012.39.40.565 N055.36.37.018 E012.39.41.650 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.018 E012.39.41.650 N055.36.38.130 E012.39.41.454 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.130 E012.39.41.454 N055.36.37.993 E012.39.39.432 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.993 E012.39.39.432 N055.36.36.757 E012.39.39.721 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.757 E012.39.39.721 N055.36.36.098 E012.39.39.738 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.098 E012.39.39.738 N055.36.36.125 E012.39.37.891 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.125 E012.39.37.891 N055.36.38.020 E012.39.38.018 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.020 E012.39.38.018 N055.36.38.075 E012.39.34.708 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.075 E012.39.34.708 N055.36.36.647 E012.39.34.615 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.647 E012.39.34.615 N055.36.36.620 E012.39.35.934 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.620 E012.39.35.934 N055.36.36.304 E012.39.36.383 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.304 E012.39.36.383 N055.36.36.153 E012.39.36.387 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.153 E012.39.36.387 N055.36.36.235 E012.39.31.958 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.235 E012.39.31.958 N055.36.36.400 E012.39.31.745 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.400 E012.39.31.745 N055.36.37.059 E012.39.32.864 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.059 E012.39.32.864 N055.36.37.169 E012.39.33.369 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.169 E012.39.33.369 N055.36.37.142 E012.39.34.114 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.142 E012.39.34.114 N055.36.38.199 E012.39.34.172 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.199 E012.39.34.172 N055.36.38.295 E012.39.31.374 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.295 E012.39.31.374 N055.36.37.224 E012.39.31.302 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.224 E012.39.31.302 N055.36.37.224 E012.39.31.536 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.224 E012.39.31.536 N055.36.37.045 E012.39.31.680 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.045 E012.39.31.680 N055.36.36.400 E012.39.30.626 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.400 E012.39.30.626 N055.36.36.290 E012.39.30.279 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.290 E012.39.30.279 N055.36.36.414 E012.39.23.117 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.414 E012.39.23.117 N055.36.36.730 E012.39.22.620 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.730 E012.39.22.620 N055.36.37.293 E012.39.22.671 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.293 E012.39.22.671 N055.36.37.622 E012.39.23.238 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.622 E012.39.23.238 N055.36.37.650 E012.39.23.705 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.650 E012.39.23.705 N055.36.38.913 E012.39.23.701 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.913 E012.39.23.701 N055.36.39.174 E012.39.13.906 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.39.174 E012.39.13.906 N055.36.38.474 E012.39.12.801 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.474 E012.39.12.801 N055.36.37.842 E012.39.12.790 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.842 E012.39.12.790 N055.36.37.814 E012.39.16.673 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.814 E012.39.16.673 N055.36.37.691 E012.39.16.927 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.691 E012.39.16.927 N055.36.37.526 E012.39.17.048 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.526 E012.39.17.048 N055.36.37.361 E012.39.17.075 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.361 E012.39.17.075 N055.36.36.702 E012.39.15.970 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.702 E012.39.15.970 N055.36.36.606 E012.39.15.582 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.606 E012.39.15.582 N055.36.36.578 E012.39.15.211 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.36.578 E012.39.15.211 N055.36.37.004 E012.38.55.147 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.004 E012.38.55.147 N055.36.37.924 E012.38.53.214 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.37.924 E012.38.53.214 N055.36.38.158 E012.38.52.929 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.158 E012.38.52.929 N055.36.38.391 E012.38.52.830 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.38.391 E012.38.52.830 N055.36.43.634 E012.38.50.957 COLOR_TaxiwayBorder ; N1 > C (inner)
N055.36.43.634 E012.38.50.957 N055.37.03.530 E012.39.21.757 COLOR_TaxiwayBorder ; C > RWY30
;
;
;
N055.36.32.445 E012.39.34.646 N055.36.32.321 E012.39.35.515 COLOR_TaxiwayBorder ; N1 island Low East
N055.36.32.321 E012.39.35.515 N055.36.31.154 E012.39.37.853 COLOR_TaxiwayBorder ; N1 island
N055.36.31.154 E012.39.37.853 N055.36.30.934 E012.39.38.749 COLOR_TaxiwayBorder ; N1 island
N055.36.30.934 E012.39.38.749 N055.36.30.921 E012.39.39.068 COLOR_TaxiwayBorder ; N1 island
N055.36.30.921 E012.39.39.068 N055.36.31.964 E012.39.39.188 COLOR_TaxiwayBorder ; N1 island
N055.36.31.964 E012.39.39.188 N055.36.31.896 E012.39.41.001 COLOR_TaxiwayBorder ; N1 island
N055.36.31.896 E012.39.41.001 N055.36.30.838 E012.39.40.974 COLOR_TaxiwayBorder ; N1 island
N055.36.30.838 E012.39.40.974 N055.36.30.879 E012.39.44.129 COLOR_TaxiwayBorder ; N1 island
N055.36.30.879 E012.39.44.129 N055.36.31.113 E012.39.44.846 COLOR_TaxiwayBorder ; N1 island
N055.36.31.113 E012.39.44.846 N055.36.31.593 E012.39.45.104 COLOR_TaxiwayBorder ; N1 island
N055.36.31.593 E012.39.45.104 N055.36.32.376 E012.39.45.334 COLOR_TaxiwayBorder ; N1 island
N055.36.32.376 E012.39.45.334 N055.36.32.802 E012.39.45.241 COLOR_TaxiwayBorder ; N1 island
N055.36.32.802 E012.39.45.241 N055.36.32.980 E012.39.44.963 COLOR_TaxiwayBorder ; N1 island
N055.36.32.980 E012.39.44.963 N055.36.33.008 E012.39.44.524 COLOR_TaxiwayBorder ; N1 island
N055.36.33.008 E012.39.44.524 N055.36.32.761 E012.39.44.060 COLOR_TaxiwayBorder ; N1 island
N055.36.32.761 E012.39.44.060 N055.36.32.747 E012.39.43.645 COLOR_TaxiwayBorder ; N1 island
N055.36.32.747 E012.39.43.645 N055.36.33.695 E012.39.43.446 COLOR_TaxiwayBorder ; N1 island
N055.36.33.695 E012.39.43.446 N055.36.33.722 E012.39.43.995 COLOR_TaxiwayBorder ; N1 island
N055.36.33.722 E012.39.43.995 N055.36.33.461 E012.39.44.338 COLOR_TaxiwayBorder ; N1 island
N055.36.33.461 E012.39.44.338 N055.36.33.516 E012.39.44.822 COLOR_TaxiwayBorder ; N1 island
N055.36.33.516 E012.39.44.822 N055.36.33.681 E012.39.45.008 COLOR_TaxiwayBorder ; N1 island
N055.36.33.681 E012.39.45.008 N055.36.33.901 E012.39.45.100 COLOR_TaxiwayBorder ; N1 island
N055.36.33.901 E012.39.45.100 N055.36.34.120 E012.39.45.004 COLOR_TaxiwayBorder ; N1 island
N055.36.34.120 E012.39.45.004 N055.36.34.876 E012.39.44.582 COLOR_TaxiwayBorder ; N1 island
N055.36.34.876 E012.39.44.582 N055.36.35.068 E012.39.44.215 COLOR_TaxiwayBorder ; N1 island
N055.36.35.068 E012.39.44.215 N055.36.35.164 E012.39.43.665 COLOR_TaxiwayBorder ; N1 island
N055.36.35.164 E012.39.43.665 N055.36.35.301 E012.39.42.855 COLOR_TaxiwayBorder ; N1 island
N055.36.35.301 E012.39.42.855 N055.36.35.343 E012.39.40.658 COLOR_TaxiwayBorder ; N1 island
N055.36.35.343 E012.39.40.658 N055.36.33.392 E012.39.40.524 COLOR_TaxiwayBorder ; N1 island
N055.36.33.392 E012.39.40.524 N055.36.33.447 E012.39.38.629 COLOR_TaxiwayBorder ; N1 island
N055.36.33.447 E012.39.38.629 N055.36.34.010 E012.39.38.653 COLOR_TaxiwayBorder ; N1 island
N055.36.34.010 E012.39.38.653 N055.36.33.997 E012.39.39.714 COLOR_TaxiwayBorder ; N1 island
N055.36.33.997 E012.39.39.714 N055.36.35.384 E012.39.39.806 COLOR_TaxiwayBorder ; N1 island
N055.36.35.384 E012.39.39.806 N055.36.35.809 E012.39.20.258 COLOR_TaxiwayBorder ; N1 island
N055.36.35.809 E012.39.20.258 N055.36.35.713 E012.39.19.911 COLOR_TaxiwayBorder ; N1 island
N055.36.35.713 E012.39.19.911 N055.36.35.521 E012.39.19.592 COLOR_TaxiwayBorder ; N1 island
N055.36.35.521 E012.39.19.592 N055.36.35.329 E012.39.19.406 COLOR_TaxiwayBorder ; N1 island
N055.36.35.329 E012.39.19.406 N055.36.35.123 E012.39.19.269 COLOR_TaxiwayBorder ; N1 island
N055.36.35.123 E012.39.19.269 N055.36.34.862 E012.39.19.197 COLOR_TaxiwayBorder ; N1 island
N055.36.34.862 E012.39.19.197 N055.36.31.429 E012.39.19.200 COLOR_TaxiwayBorder ; N1 island
N055.36.31.429 E012.39.19.200 N055.36.31.113 E012.39.19.313 COLOR_TaxiwayBorder ; N1 island
N055.36.31.113 E012.39.19.313 N055.36.30.948 E012.39.19.519 COLOR_TaxiwayBorder ; N1 island
N055.36.30.948 E012.39.19.519 N055.36.30.838 E012.39.19.774 COLOR_TaxiwayBorder ; N1 island
N055.36.30.838 E012.39.19.774 N055.36.30.783 E012.39.20.234 COLOR_TaxiwayBorder ; N1 island
N055.36.30.783 E012.39.20.234 N055.36.30.756 E012.39.26.238 COLOR_TaxiwayBorder ; N1 island
N055.36.30.756 E012.39.26.238 N055.36.32.129 E012.39.28.878 COLOR_TaxiwayBorder ; N1 island
N055.36.32.129 E012.39.28.878 N055.36.32.349 E012.39.29.538 COLOR_TaxiwayBorder ; N1 island
N055.36.32.349 E012.39.29.538 N055.36.32.472 E012.39.30.173 COLOR_TaxiwayBorder ; N1 island
N055.36.32.472 E012.39.30.173 N055.36.32.514 E012.39.30.849 COLOR_TaxiwayBorder ; N1 island Low west
N055.36.32.514 E012.39.30.849 N055.36.32.445 E012.39.34.646 COLOR_TaxiwayBorder ; N1 island Connector
;
;
N055.36.37.334 E012.39.18.489 N055.36.36.908 E012.39.18.349 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.36.908 E012.39.18.349 N055.36.36.620 E012.39.18.369 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.36.620 E012.39.18.369 N055.36.36.565 E012.39.18.507 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.36.565 E012.39.18.507 N055.36.36.524 E012.39.18.785 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.36.524 E012.39.18.785 N055.36.36.469 E012.39.21.171 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.36.469 E012.39.21.171 N055.36.36.771 E012.39.21.700 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.36.771 E012.39.21.700 N055.36.37.334 E012.39.21.744 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.37.334 E012.39.21.744 N055.36.37.691 E012.39.21.195 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.37.691 E012.39.21.195 N055.36.37.718 E012.39.19.846 COLOR_TaxiwayBorder ; N2 Island (small)
N055.36.37.718 E012.39.19.846 N055.36.37.334 E012.39.18.489 COLOR_TaxiwayBorder ; N2 island connector
;
;
N055.37.40.038 E012.37.47.828 N055.37.42.167 E012.37.50.232 COLOR_TaxiwayBorder ; K1 > DOM TERM
N055.37.42.167 E012.37.50.232 N055.37.42.799 E012.37.48.498 COLOR_TaxiwayBorder ; K1 > DOM TERM
N055.37.42.799 E012.37.48.498 N055.37.42.867 E012.37.48.062 COLOR_TaxiwayBorder ; K1 > DOM TERM
N055.37.42.867 E012.37.48.062 N055.37.43.732 E012.37.48.031 COLOR_TaxiwayBorder ; K1 > DOM TERM
;
;
N055.37.38.830 E012.37.46.400 N055.37.38.212 E012.37.45.803 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.38.212 E012.37.45.803 N055.37.37.415 E012.37.45.353 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.37.415 E012.37.45.353 N055.37.36.454 E012.37.45.202 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.36.454 E012.37.45.202 N055.37.25.124 E012.37.48.206 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.25.124 E012.37.48.206 N055.37.24.726 E012.37.48.206 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.24.726 E012.37.48.206 N055.37.24.355 E012.37.48.161 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.24.355 E012.37.48.161 N055.37.23.435 E012.37.47.760 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.23.435 E012.37.47.760 N055.37.20.881 E012.37.46.434 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.20.881 E012.37.46.434 N055.37.21.169 E012.37.44.852 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.169 E012.37.44.852 N055.37.20.126 E012.37.44.230 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.20.126 E012.37.44.230 N055.37.18.876 E012.37.45.384 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.18.876 E012.37.45.384 N055.37.18.491 E012.37.45.425 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.18.491 E012.37.45.425 N055.37.18.395 E012.37.45.947 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.18.395 E012.37.45.947 N055.37.18.684 E012.37.46.338 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.18.684 E012.37.46.338 N055.37.19.343 E012.37.48.621 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.19.343 E012.37.48.621 N055.37.19.837 E012.37.48.882 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.19.837 E012.37.48.882 N055.37.20.455 E012.37.47.622 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.20.455 E012.37.47.622 N055.37.21.705 E012.37.48.769 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.705 E012.37.48.769 N055.37.21.966 E012.37.49.075 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.966 E012.37.49.075 N055.37.22.240 E012.37.49.607 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.22.240 E012.37.49.607 N055.37.22.378 E012.37.49.995 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.22.378 E012.37.49.995 N055.37.22.433 E012.37.50.259 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.22.433 E012.37.50.259 N055.37.21.938 E012.37.51.210 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.938 E012.37.51.210 N055.37.21.636 E012.37.52.031 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.636 E012.37.52.031 N055.37.21.375 E012.37.53.050 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.375 E012.37.53.050 N055.37.21.169 E012.37.54.465 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.169 E012.37.54.465 N055.37.21.101 E012.37.55.563 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.101 E012.37.55.563 N055.37.21.142 E012.37.57.661 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.142 E012.37.57.661 N055.37.20.744 E012.37.57.685 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.20.744 E012.37.57.685 N055.37.21.183 E012.38.29.085 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.183 E012.38.29.085 N055.37.21.581 E012.38.30.321 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.581 E012.38.30.321 N055.37.21.622 E012.38.32.701 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.622 E012.38.32.701 N055.37.21.554 E012.38.33.062 COLOR_TaxiwayBorder ; F1 > F2 (Outer)
N055.37.21.554 E012.38.33.062 N055.37.20.263 E012.38.36.549 COLOR_TaxiwayBorder ; F2 > A1
;
;
N055.37.37.704 E012.37.49.442 N055.37.37.800 E012.37.48.697 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.37.800 E012.37.48.697 N055.37.37.786 E012.37.47.952 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.37.786 E012.37.47.952 N055.37.37.635 E012.37.47.670 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.37.635 E012.37.47.670 N055.37.37.333 E012.37.47.337 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.37.333 E012.37.47.337 N055.37.37.003 E012.37.47.121 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.37.003 E012.37.47.121 N055.37.36.495 E012.37.46.939 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.36.495 E012.37.46.939 N055.37.35.534 E012.37.46.888 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.35.534 E012.37.46.888 N055.37.34.257 E012.37.47.104 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.34.257 E012.37.47.104 N055.37.32.568 E012.37.51.643 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.32.568 E012.37.51.643 N055.37.32.513 E012.37.51.732 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.32.513 E012.37.51.732 N055.37.32.430 E012.37.51.749 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.32.430 E012.37.51.749 N055.37.25.729 E012.37.53.596 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
N055.37.25.729 E012.37.53.596 N055.37.23.188 E012.37.51.845 COLOR_TaxiwayBorder ; F1 > F2 (Inner)
