;>>>>> Roenne Airport  <<<<<
N055.04.06.052 E014.44.53.772 N055.04.06.148 E014.44.53.634 COLOR_TaxiwayBorder ; At apron
N055.04.06.148 E014.44.53.634 N055.04.06.244 E014.44.53.483 COLOR_TaxiwayBorder ; At apron
N055.04.06.244 E014.44.53.483 N055.04.06.299 E014.44.53.377 COLOR_TaxiwayBorder ; At apron
N055.04.06.299 E014.44.53.377 N055.04.06.340 E014.44.53.277 COLOR_TaxiwayBorder ; At apron
N055.04.06.340 E014.44.53.277 N055.04.06.945 E014.44.50.860 COLOR_TaxiwayBorder ; At apron
N055.04.06.945 E014.44.50.860 N055.04.06.945 E014.44.50.496 COLOR_TaxiwayBorder ; At apron
N055.04.06.945 E014.44.50.496 N055.04.06.917 E014.44.50.476 COLOR_TaxiwayBorder ; At apron
N055.04.06.917 E014.44.50.476 N055.04.06.876 E014.44.50.465 COLOR_TaxiwayBorder ; At apron
N055.04.06.876 E014.44.50.465 N055.04.06.849 E014.44.50.469 COLOR_TaxiwayBorder ; At apron
;
;
N055.03.46.771 E014.45.41.768 N055.03.48.858 E014.45.43.306 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.48.858 E014.45.43.306 N055.03.48.570 E014.45.44.484 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.48.570 E014.45.44.484 N055.03.49.284 E014.45.44.985 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.49.284 E014.45.44.985 N055.03.50.960 E014.45.38.352 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.50.960 E014.45.38.352 N055.03.54.379 E014.45.24.901 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.54.379 E014.45.24.901 N055.03.56.563 E014.45.16.558 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.56.563 E014.45.16.558 N055.04.00.573 E014.45.16.548 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.00.573 E014.45.16.548 N055.04.00.765 E014.45.16.513 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.00.765 E014.45.16.513 N055.04.00.930 E014.45.16.455 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.00.930 E014.45.16.455 N055.04.01.081 E014.45.16.297 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.01.081 E014.45.16.297 N055.04.01.218 E014.45.16.112 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.01.218 E014.45.16.112 N055.04.01.328 E014.45.15.847 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.01.328 E014.45.15.847 N055.04.05.573 E014.44.59.818 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.04.967 E014.44.59.342 N055.04.00.888 E014.45.15.150 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.00.888 E014.45.15.150 N055.04.00.710 E014.45.15.343 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.00.710 E014.45.15.343 N055.04.00.394 E014.45.15.576 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.04.00.394 E014.45.15.576 N055.03.56.508 E014.45.14.996 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.56.508 E014.45.14.996 N055.03.56.219 E014.45.15.095 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.56.219 E014.45.15.095 N055.03.55.958 E014.45.15.439 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.55.958 E014.45.15.439 N055.03.55.725 E014.45.15.882 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.55.725 E014.45.15.882 N055.03.49.751 E014.45.39.935 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.49.751 E014.45.39.935 N055.03.49.161 E014.45.40.556 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.49.161 E014.45.40.556 N055.03.48.817 E014.45.40.755 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.48.817 E014.45.40.755 N055.03.48.570 E014.45.40.821 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.48.570 E014.45.40.821 N055.03.48.378 E014.45.40.810 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.48.378 E014.45.40.810 N055.03.48.089 E014.45.40.639 COLOR_TaxiwayBorder ; GRASS ; TWY
N055.03.48.089 E014.45.40.639 N055.03.47.224 E014.45.39.955 COLOR_TaxiwayBorder ; GRASS ; TWY
;
;
N055.04.08.291 E014.45.00.854 N055.04.08.428 E014.45.00.961 COLOR_Building2 ; Terminal
