N057.05.46.151 E009.50.19.880 N057.05.44.586 E009.49.55.607 COLOR_TaxiwayBorder ; Island G F
N057.05.44.586 E009.49.55.607 N057.05.44.393 E009.49.54.855 COLOR_TaxiwayBorder ; Island G F
N057.05.44.393 E009.49.54.855 N057.05.44.105 E009.49.54.200 COLOR_TaxiwayBorder ; Island G F
N057.05.44.105 E009.49.54.200 N057.05.43.748 E009.49.53.757 COLOR_TaxiwayBorder ; Island G F
N057.05.43.748 E009.49.53.757 N057.05.43.281 E009.49.53.427 COLOR_TaxiwayBorder ; Island G F
N057.05.43.281 E009.49.53.427 N057.05.42.828 E009.49.53.386 COLOR_TaxiwayBorder ; Island G F
N057.05.42.828 E009.49.53.386 N057.05.42.388 E009.49.53.540 COLOR_TaxiwayBorder ; Island G F
N057.05.42.388 E009.49.53.540 N057.05.41.949 E009.49.53.884 COLOR_TaxiwayBorder ; Island G F
N057.05.41.949 E009.49.53.884 N057.05.38.694 E009.50.00.197 COLOR_TaxiwayBorder ; Island G F
N057.05.38.694 E009.50.00.197 N057.05.38.475 E009.50.00.802 COLOR_TaxiwayBorder ; Island G F
N057.05.38.475 E009.50.00.802 N057.05.38.351 E009.50.01.286 COLOR_TaxiwayBorder ; Island G F
N057.05.38.351 E009.50.01.286 N057.05.38.282 E009.50.01.835 COLOR_TaxiwayBorder ; Island G F
N057.05.38.282 E009.50.01.835 N057.05.38.251 E009.50.02.510 COLOR_TaxiwayBorder ; Island G F
N057.05.38.251 E009.50.02.510 N057.05.39.917 E009.50.28.350 COLOR_TaxiwayBorder ; RWY 26R / 08L
;
;
N057.05.43.420 E009.51.22.789 N057.05.40.247 E009.50.33.503 COLOR_TaxiwayBorder ; RWY 08L > 26R
N057.05.40.247 E009.50.33.503 N057.05.40.287 E009.50.32.878 COLOR_TaxiwayBorder ; Island G H
N057.05.40.287 E009.50.32.878 N057.05.40.383 E009.50.32.456 COLOR_TaxiwayBorder ; Island G H
N057.05.40.383 E009.50.32.456 N057.05.40.548 E009.50.32.154 COLOR_TaxiwayBorder ; Island G H
N057.05.40.548 E009.50.32.154 N057.05.45.574 E009.50.24.731 COLOR_TaxiwayBorder ; Island G H
