; >>> EKEB - Esbjerg <<<
N055.31.18.730 E008.33.00.289 N055.31.18.881 E008.33.00.251 COLOR_Building2 ; Terminal
N055.31.18.881 E008.33.00.251 N055.31.18.799 E008.32.59.496 COLOR_Building2 ; Terminal
N055.31.18.799 E008.32.59.496 N055.31.18.648 E008.32.59.537 COLOR_Building2 ; Terminal
N055.31.18.648 E008.32.59.537 N055.31.18.552 E008.32.58.596 COLOR_Building2 ; Terminal
N055.31.18.552 E008.32.58.596 N055.31.18.318 E008.32.58.675 COLOR_Building2 ; Terminal
N055.31.18.318 E008.32.58.675 N055.31.18.305 E008.32.58.397 COLOR_Building2 ; Terminal
N055.31.18.305 E008.32.58.397 N055.31.18.511 E008.32.58.359 COLOR_Building2 ; Terminal
N055.31.18.511 E008.32.58.359 N055.31.18.332 E008.32.56.447 COLOR_Building2 ; Terminal
N055.31.18.332 E008.32.56.447 N055.31.18.511 E008.32.56.399 COLOR_Building2 ; Terminal
N055.31.18.511 E008.32.56.399 N055.31.18.401 E008.32.55.283 COLOR_Building2 ; Terminal
N055.31.18.401 E008.32.55.283 N055.31.18.222 E008.32.55.355 COLOR_Building2 ; Terminal
N055.31.18.222 E008.32.55.355 N055.31.18.153 E008.32.54.696 COLOR_Building2 ; Terminal
N055.31.18.153 E008.32.54.696 N055.31.17.947 E008.32.54.747 COLOR_Building2 ; Terminal
N055.31.17.947 E008.32.54.747 N055.31.17.796 E008.32.54.528 COLOR_Building2 ; Terminal
N055.31.17.796 E008.32.54.528 N055.31.17.728 E008.32.53.662 COLOR_Building2 ; Terminal
N055.31.17.728 E008.32.53.662 N055.31.17.110 E008.32.53.844 COLOR_Building2 ; Terminal
N055.31.17.110 E008.32.53.844 N055.31.17.316 E008.32.55.540 COLOR_Building2 ; Terminal
N055.31.17.316 E008.32.55.540 N055.31.17.398 E008.32.55.510 COLOR_Building2 ; Terminal
N055.31.17.398 E008.32.55.510 N055.31.17.728 E008.32.58.668 COLOR_Building2 ; Terminal
N055.31.17.728 E008.32.58.668 N055.31.18.044 E008.32.58.524 COLOR_Building2 ; Terminal
N055.31.18.044 E008.32.58.524 N055.31.18.085 E008.32.58.775 COLOR_Building2 ; Terminal
N055.31.18.085 E008.32.58.775 N055.31.17.728 E008.32.58.884 COLOR_Building2 ; Terminal
N055.31.17.728 E008.32.58.884 N055.31.17.838 E008.32.59.890 COLOR_Building2 ; Terminal
N055.31.17.838 E008.32.59.890 N055.31.17.687 E008.32.59.962 COLOR_Building2 ; Terminal
N055.31.17.687 E008.32.59.962 N055.31.17.934 E008.33.02.266 COLOR_Building2 ; Terminal
N055.31.17.934 E008.33.02.266 N055.31.18.881 E008.33.01.909 COLOR_Building2 ; Terminal
;
;
N055.31.27.698 E008.32.52.516 N055.31.27.821 E008.32.53.662 COLOR_Stopbar ; w
N055.31.33.026 E008.33.31.397 N055.31.32.793 E008.33.32.046 COLOR_Stopbar ; e
N055.31.23.619 E008.32.58.078 N055.31.24.031 E008.32.57.944 COLOR_Stopbar ; TWY D
;
;
N055.31.24.938 E008.33.13.352 N055.31.24.704 E008.33.13.393 COLOR_HardSurface1 ; 1
N055.31.24.704 E008.33.13.393 N055.31.24.553 E008.33.13.548 COLOR_HardSurface1 ; 1
N055.31.24.553 E008.33.13.548 N055.31.24.457 E008.33.13.719 COLOR_HardSurface1 ; 1
N055.31.24.457 E008.33.13.719 N055.31.24.416 E008.33.13.960 COLOR_HardSurface1 ; 1
N055.31.24.416 E008.33.13.960 N055.31.24.484 E008.33.14.320 COLOR_HardSurface1 ; 1
N055.31.24.484 E008.33.14.320 N055.31.24.416 E008.33.14.866 COLOR_HardSurface1 ; 1
N055.31.24.416 E008.33.14.866 N055.31.24.375 E008.33.14.959 COLOR_HardSurface1 ; 1
N055.31.24.375 E008.33.14.959 N055.31.24.306 E008.33.14.986 COLOR_HardSurface1 ; 1
N055.31.24.306 E008.33.14.986 N055.31.24.265 E008.33.14.928 COLOR_HardSurface1 ; 1
N055.31.24.265 E008.33.14.928 N055.31.24.237 E008.33.14.832 COLOR_HardSurface1 ; 1
N055.31.24.237 E008.33.14.832 N055.31.24.292 E008.33.14.368 COLOR_HardSurface1 ; 1
;
;
N055.31.23.976 E008.33.13.064 N055.31.23.688 E008.33.13.105 COLOR_HardSurface1 ; 2
N055.31.23.688 E008.33.13.105 N055.31.23.509 E008.33.13.228 COLOR_HardSurface1 ; 2
N055.31.23.509 E008.33.13.228 N055.31.23.386 E008.33.13.431 COLOR_HardSurface1 ; 2
N055.31.23.386 E008.33.13.431 N055.31.23.317 E008.33.13.747 COLOR_HardSurface1 ; 2
