; >>> EKAH - aarhus <<<
N056.18.21.338 E010.37.47.265 N056.18.21.200 E010.37.47.354 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.21.200 E010.37.47.354 N056.18.20.981 E010.37.47.382 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.20.981 E010.37.47.382 N056.18.19.772 E010.37.47.303 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.19.772 E010.37.47.303 N056.18.16.421 E010.37.46.204 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.16.421 E010.37.46.204 N056.18.16.215 E010.37.46.012 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.16.215 E010.37.46.012 N056.18.16.064 E010.37.45.765 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.16.064 E010.37.45.765 N056.18.15.941 E010.37.45.449 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.15.941 E010.37.45.449 N056.18.15.845 E010.37.45.075 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.15.845 E010.37.45.075 N056.18.15.803 E010.37.44.742 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.15.803 E010.37.44.742 N056.18.15.791 E010.37.44.273 COLOR_TaxiwayBorder ; TWY W Apron E
;
;
N056.18.18.719 E010.35.54.429 N056.18.18.687 E010.35.53.855 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.18.687 E010.35.53.855 N056.18.18.646 E010.35.53.285 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.18.646 E010.35.53.285 N056.18.18.522 E010.35.52.877 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.18.522 E010.35.52.877 N056.18.18.316 E010.35.52.242 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.18.316 E010.35.52.242 N056.18.18.097 E010.35.51.706 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.18.097 E010.35.51.706 N056.18.17.891 E010.35.51.394 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.17.891 E010.35.51.394 N056.18.17.465 E010.35.50.978 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.17.465 E010.35.50.978 N056.18.14.718 E010.35.49.457 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.14.718 E010.35.49.457 N056.18.14.252 E010.35.49.447 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.14.252 E010.35.49.447 N056.18.13.881 E010.35.49.650 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.13.881 E010.35.49.650 N056.18.13.551 E010.35.50.031 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.13.551 E010.35.50.031 N056.18.13.276 E010.35.50.549 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.13.276 E010.35.50.549 N056.18.13.112 E010.35.51.068 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.13.112 E010.35.51.068 N056.18.10.159 E010.36.20.216 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.10.159 E010.36.20.216 N056.18.10.214 E010.36.20.871 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.10.214 E010.36.20.871 N056.18.10.406 E010.36.21.606 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.10.406 E010.36.21.606 N056.18.10.859 E010.36.22.073 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.10.859 E010.36.22.073 N056.18.14.966 E010.36.23.391 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.14.966 E010.36.23.391 N056.18.15.281 E010.36.23.271 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.15.281 E010.36.23.271 N056.18.15.515 E010.36.23.076 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.15.515 E010.36.23.076 N056.18.15.666 E010.36.22.815 COLOR_TaxiwayBorder ; South TWY Z Y
N056.18.15.666 E010.36.22.815 N056.18.15.916 E010.36.22.196 COLOR_TaxiwayBorder ; South TWY Z Y
